dteday,season,year,month,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,humidity_category,category_days
2011-01-01,Spring,2011,Jan,No Holiday,Saturday,Misty,0.344167,0.363625,80.58330000000001,0.160446,331,654,985,Terlalu Lembab,weekend
2011-01-02,Spring,2011,Jan,No Holiday,Sunday,Misty,0.363478,0.353739,69.6087,0.248539,131,670,801,Terlalu Lembab,weekend
2011-01-03,Spring,2011,Jan,No Holiday,Monday,Clear,0.196364,0.189405,43.7273,0.248309,120,1229,1349,Terlalu kering,weekdays
2011-01-04,Spring,2011,Jan,No Holiday,Tuesday,Clear,0.2,0.212122,59.0435,0.160296,108,1454,1562,Ideal,weekdays
2011-01-05,Spring,2011,Jan,No Holiday,Wednesday,Clear,0.226957,0.22927,43.695699999999995,0.1869,82,1518,1600,Terlalu kering,weekdays
2011-01-06,Spring,2011,Jan,No Holiday,Thursday,Clear,0.204348,0.233209,51.8261,0.0895652,88,1518,1606,Ideal,weekdays
2011-01-07,Spring,2011,Jan,No Holiday,Friday,Misty,0.196522,0.208839,49.8696,0.168726,148,1362,1510,Ideal,weekdays
2011-01-08,Spring,2011,Jan,No Holiday,Saturday,Misty,0.165,0.162254,53.5833,0.266804,68,891,959,Ideal,weekend
2011-01-09,Spring,2011,Jan,No Holiday,Sunday,Clear,0.138333,0.116175,43.416700000000006,0.36195,54,768,822,Terlalu kering,weekend
2011-01-10,Spring,2011,Jan,No Holiday,Monday,Clear,0.150833,0.150888,48.2917,0.223267,41,1280,1321,Ideal,weekdays
2011-01-11,Spring,2011,Jan,No Holiday,Tuesday,Misty,0.169091,0.191464,68.6364,0.122132,43,1220,1263,Terlalu Lembab,weekdays
2011-01-12,Spring,2011,Jan,No Holiday,Wednesday,Clear,0.172727,0.160473,59.954499999999996,0.304627,25,1137,1162,Ideal,weekdays
2011-01-13,Spring,2011,Jan,No Holiday,Thursday,Clear,0.165,0.150883,47.0417,0.301,38,1368,1406,Ideal,weekdays
2011-01-14,Spring,2011,Jan,No Holiday,Friday,Clear,0.16087,0.188413,53.7826,0.126548,54,1367,1421,Ideal,weekdays
2011-01-15,Spring,2011,Jan,No Holiday,Saturday,Misty,0.233333,0.248112,49.875,0.157963,222,1026,1248,Ideal,weekend
2011-01-16,Spring,2011,Jan,No Holiday,Sunday,Clear,0.231667,0.234217,48.375,0.188433,251,953,1204,Ideal,weekend
2011-01-17,Spring,2011,Jan,Holiday,Monday,Misty,0.175833,0.176771,53.75,0.194017,117,883,1000,Ideal,weekdays
2011-01-18,Spring,2011,Jan,No Holiday,Tuesday,Misty,0.216667,0.232333,86.16669999999999,0.146775,9,674,683,Terlalu Lembab,weekdays
2011-01-19,Spring,2011,Jan,No Holiday,Wednesday,Misty,0.292174,0.298422,74.1739,0.208317,78,1572,1650,Terlalu Lembab,weekdays
2011-01-20,Spring,2011,Jan,No Holiday,Thursday,Misty,0.261667,0.25505,53.833299999999994,0.195904,83,1844,1927,Ideal,weekdays
2011-01-21,Spring,2011,Jan,No Holiday,Friday,Clear,0.1775,0.157833,45.7083,0.353242,75,1468,1543,Ideal,weekdays
2011-01-22,Spring,2011,Jan,No Holiday,Saturday,Clear,0.0591304,0.0790696,40.0,0.17197,93,888,981,Terlalu kering,weekend
2011-01-23,Spring,2011,Jan,No Holiday,Sunday,Clear,0.0965217,0.0988391,43.6522,0.2466,150,836,986,Terlalu kering,weekend
2011-01-24,Spring,2011,Jan,No Holiday,Monday,Clear,0.0973913,0.11793,49.173899999999996,0.15833,86,1330,1416,Ideal,weekdays
2011-01-25,Spring,2011,Jan,No Holiday,Tuesday,Misty,0.223478,0.234526,61.695699999999995,0.129796,186,1799,1985,Ideal,weekdays
